                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7266,                 1.2598,                  1.633,                0.58771,                0.96357,                0.69095,                0.34694,                 1.7266,                  1.338,                 1.8378,               0.008317,               0.008317,               0.008317
                     36,                  1.723,                 1.2275,                 1.5928,                0.27444,                0.35662,                0.22445,                0.05941,                 3.1301,                 4.2715,                 3.1691,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.7354,                 1.2299,                 1.6195,                0.38777,                0.77458,                0.50886,                0.16775,                 2.3141,                 2.2625,                 2.3973,               0.008218,               0.008218,               0.008218
                     38,                 1.6989,                 1.1855,                 1.5922,                0.62972,                0.91717,                0.80882,                0.41877,                 1.6467,                 1.1446,                 1.7722,              0.0081685,              0.0081685,              0.0081685
                     39,                  1.689,                 1.2085,                  1.605,                0.36184,                0.42606,                0.34604,                0.12328,                 2.5668,                 1.8029,                 2.3923,               0.008119,               0.008119,               0.008119
                     40,                 1.7221,                 1.1613,                 1.5922,                 0.6196,                0.83395,                0.71695,                0.32362,                 1.9178,                  1.312,                 1.9395,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.7023,                 1.1743,                 1.5954,                0.52199,                0.82582,                0.56694,                0.19584,                 2.3224,                 1.4961,                 2.2789,                0.00802,                0.00802,                0.00802
                     42,                 1.6796,                  1.144,                 1.5751,                0.57097,                 0.8785,                0.67601,                0.33203,                  1.721,                 1.3337,                 1.8053,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.7003,                 1.1321,                 1.5879,                0.52652,                0.76223,                0.67603,                0.31347,                 1.8112,                 1.2225,                 1.8677,               0.007921,               0.007921,               0.007921
                     44,                 1.6772,                 1.1447,                 1.5825,                 0.5569,                0.87844,                0.70925,                0.34875,                 1.7301,                 1.1231,                  1.864,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.6847,                 1.1356,                 1.5646,                0.56879,                0.88922,                0.75565,                0.37848,                 1.7198,                  1.105,                 1.8164,               0.007822,               0.007822,               0.007822
                     46,                 1.7085,                 1.1447,                 1.5537,                0.55143,                0.85443,                0.65928,                0.32863,                 1.6928,                 1.1783,                  1.739,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.6841,                 1.1174,                 1.5843,                0.56441,                0.89216,                0.66978,                 0.3354,                 1.7246,                 1.1508,                 1.7851,               0.007723,               0.007723,               0.007723
