                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9423,                 1.2393,                 1.2756,                0.53741,                 0.6637,                0.59273,                0.25902,                 1.8682,                 1.2001,                 1.3002,               0.007756,               0.007756,               0.007756
                     36,                 1.9145,                 1.2149,                 1.2841,                0.50214,                0.55895,                0.49041,                 0.1822,                 2.1585,                 1.4116,                 1.4808,                0.00769,                0.00769,                0.00769
                     37,                 1.9311,                 1.2245,                 1.2867,                0.51193,                0.67365,                0.58409,                0.25995,                 1.8537,                 1.2061,                 1.2893,               0.007624,               0.007624,               0.007624
                     38,                 1.9885,                 1.2752,                 1.3239,                0.50772,                0.69165,                 0.5638,                0.25123,                 1.8565,                 1.2498,                 1.2942,               0.007558,               0.007558,               0.007558
                     39,                  1.906,                 1.2139,                 1.2804,                0.36873,                0.68181,                0.43332,                0.18448,                 2.0061,                 1.5148,                 1.3889,               0.007492,               0.007492,               0.007492
                     40,                 1.9022,                 1.1973,                 1.2745,                0.54885,                0.66391,                0.58473,                0.27439,                 1.7746,                 1.1688,                 1.2542,               0.007426,               0.007426,               0.007426
                     41,                 1.9182,                 1.2005,                 1.2673,                0.53494,                  0.669,                0.58745,                0.27205,                 1.8193,                 1.1845,                  1.278,                0.00736,                0.00736,                0.00736
                     42,                 1.8741,                 1.1772,                 1.2693,                0.51514,                0.68499,                0.61024,                0.28574,                 1.8141,                  1.189,                 1.2698,               0.007294,               0.007294,               0.007294
                     43,                 1.8927,                 1.1752,                 1.2498,                0.53934,                0.70812,                0.62863,                 0.2898,                  1.773,                 1.1876,                 1.2543,               0.007228,               0.007228,               0.007228
                     44,                 1.8866,                 1.1603,                 1.2601,                 0.5644,                0.68346,                0.63434,                0.30096,                 1.7711,                  1.157,                 1.2466,               0.007162,               0.007162,               0.007162
                     45,                 1.9087,                 1.1637,                 1.2553,                0.49117,                0.74526,                0.57944,                0.24024,                  1.967,                 1.3486,                 1.3486,               0.007096,               0.007096,               0.007096
                     46,                 1.8522,                  1.168,                 1.2447,                0.51276,                0.73013,                0.59443,                0.26918,                 1.8143,                 1.1921,                 1.2804,                0.00703,                0.00703,                0.00703
                     47,                 1.8716,                 1.1488,                 1.2465,                0.53457,                0.70361,                0.61016,                0.27482,                 1.8238,                 1.1795,                 1.2729,               0.006964,               0.006964,               0.006964
                     48,                 1.8468,                 1.1404,                 1.2452,                0.39276,                0.64958,                0.44089,                0.18427,                 2.1483,                 1.4217,                  1.455,               0.006898,               0.006898,               0.006898
                     49,                  1.857,                 1.1427,                 1.2509,                0.51444,                0.71914,                0.59159,                0.26512,                 1.8202,                 1.2519,                 1.2698,               0.006832,               0.006832,               0.006832
                     50,                 1.8655,                   1.15,                  1.274,                0.51408,                0.65591,                0.56568,                0.24577,                 1.8709,                 1.4046,                 1.2972,               0.006766,               0.006766,               0.006766
                     51,                 1.8538,                 1.1194,                 1.2427,                0.49661,                 0.6983,                0.57733,                 0.2705,                 1.7675,                 1.1888,                 1.2486,                 0.0067,                 0.0067,                 0.0067
                     52,                  1.842,                 1.1482,                  1.251,                 0.4908,                 0.6037,                0.50816,                0.19162,                 2.1021,                 1.4308,                 1.4388,               0.006634,               0.006634,               0.006634
                     53,                 1.8375,                 1.1149,                 1.2387,                0.46345,                0.63449,                 0.4983,                0.20971,                 2.0368,                 1.3077,                  1.397,               0.006568,               0.006568,               0.006568
                     54,                 1.8239,                 1.1074,                 1.2448,                0.57376,                0.69721,                0.65295,                0.30374,                 1.7986,                 1.1468,                 1.2666,               0.006502,               0.006502,               0.006502
                     55,                 1.8205,                  1.112,                 1.2349,                0.59705,                 0.7115,                0.65457,                0.30306,                  1.808,                 1.1614,                 1.2636,               0.006436,               0.006436,               0.006436
                     56,                 1.8251,                 1.0986,                 1.2136,                0.54777,                0.72553,                0.62848,                0.29329,                 1.7784,                  1.141,                 1.2541,                0.00637,                0.00637,                0.00637
                     57,                 1.8233,                 1.1045,                  1.247,                0.50939,                0.68222,                0.55567,                0.25034,                 1.8712,                 1.1909,                 1.3204,               0.006304,               0.006304,               0.006304
                     58,                 1.8149,                 1.0905,                 1.2381,                0.54791,                0.72432,                0.66424,                0.30668,                 1.7772,                 1.1219,                 1.2545,               0.006238,               0.006238,               0.006238
                     59,                 1.8196,                  1.097,                 1.2232,                 0.5532,                0.75051,                0.67345,                 0.3109,                 1.7718,                 1.1309,                 1.2485,               0.006172,               0.006172,               0.006172
                     60,                 1.8133,                 1.0779,                 1.2325,                0.55271,                0.66718,                0.62912,                0.28843,                 1.7915,                 1.2164,                 1.2615,               0.006106,               0.006106,               0.006106
                     61,                 1.8115,                  1.081,                 1.2308,                0.09422,                0.19396,                0.13695,                0.05086,                 2.5382,                 6.1926,                 1.6734,                0.00604,                0.00604,                0.00604
                     62,                 1.7937,                 1.0682,                 1.2246,                0.59864,                0.72428,                0.66829,                 0.3223,                 1.7774,                 1.0802,                 1.2512,               0.005974,               0.005974,               0.005974
                     63,                 1.7956,                 1.0832,                 1.2108,                0.61302,                0.71512,                0.66257,                0.32334,                 1.7554,                 1.0823,                 1.2435,               0.005908,               0.005908,               0.005908
                     64,                 1.8536,                 1.0764,                 1.2426,                0.57208,                0.71675,                0.66984,                0.30572,                 1.8404,                 1.1047,                   1.28,               0.005842,               0.005842,               0.005842
                     65,                 1.8069,                 1.0775,                 1.2122,                0.58558,                0.75789,                0.68917,                 0.3081,                 1.8575,                 1.1056,                 1.2904,               0.005776,               0.005776,               0.005776
                     66,                 1.7906,                 1.0526,                 1.2031,                0.49571,                0.76612,                0.60903,                0.28593,                 1.7756,                 1.2498,                 1.2677,                0.00571,                0.00571,                0.00571
                     67,                 1.7671,                 1.0433,                 1.2135,                0.59088,                0.70815,                 0.6793,                0.32457,                 1.7833,                 1.0757,                 1.2649,               0.005644,               0.005644,               0.005644
                     68,                 1.7624,                 1.0288,                  1.211,                0.61921,                0.69538,                0.67964,                0.31183,                 1.8327,                 1.1008,                 1.2823,               0.005578,               0.005578,               0.005578
                     69,                 1.7871,                 1.0467,                 1.2239,                0.56233,                0.70856,                0.69399,                0.31449,                 1.8474,                  1.155,                 1.2782,               0.005512,               0.005512,               0.005512
                     70,                 1.8033,                  1.046,                 1.2152,                0.63255,                0.70766,                0.70604,                0.34206,                 1.7541,                 1.0474,                 1.2344,               0.005446,               0.005446,               0.005446
                     71,                 1.7717,                 1.0212,                 1.2022,                0.61259,                0.73245,                0.69309,                0.33392,                 1.7546,                 1.0619,                 1.2398,                0.00538,                0.00538,                0.00538
                     72,                 1.7817,                 1.0402,                 1.1956,                0.36205,                0.72537,                0.46325,                 0.2052,                 1.9148,                 1.7682,                 1.3421,               0.005314,               0.005314,               0.005314
                     73,                 1.7532,                 1.0237,                 1.2183,                0.58325,                0.71877,                 0.6774,                 0.3304,                 1.7668,                 1.0656,                 1.2518,               0.005248,               0.005248,               0.005248
                     74,                 1.7884,                 1.0358,                 1.2146,                0.67092,                0.67466,                0.69941,                  0.337,                 1.7499,                 1.0609,                 1.2322,               0.005182,               0.005182,               0.005182
                     75,                 1.8015,                  1.029,                 1.2301,                0.62074,                0.75172,                0.71418,                0.32706,                 1.8162,                 1.0722,                 1.2624,               0.005116,               0.005116,               0.005116
                     76,                 1.7556,                 1.0348,                 1.1965,                0.62461,                 0.7871,                 0.7404,                0.35985,                 1.7556,                 1.0642,                 1.2372,                0.00505,                0.00505,                0.00505
                     77,                 1.7538,                  1.004,                 1.2107,                0.57157,                0.74127,                0.69016,                 0.3388,                 1.7515,                 1.0806,                 1.2374,               0.004984,               0.004984,               0.004984
                     78,                 1.7291,                 1.0066,                 1.1953,                 0.5765,                0.69818,                0.64641,                0.28511,                 1.8978,                 1.1446,                 1.3209,               0.004918,               0.004918,               0.004918
                     79,                 1.7393,                  0.999,                 1.1949,                0.58944,                0.80302,                0.71283,                0.33131,                 1.7688,                 1.1234,                 1.2464,               0.004852,               0.004852,               0.004852
                     80,                 1.7826,                 1.0151,                 1.2291,                0.61153,                0.73322,                0.69539,                0.31422,                 1.8613,                  1.129,                 1.2876,               0.004786,               0.004786,               0.004786
                     81,                 1.7431,                 0.9991,                 1.2095,                 0.6609,                0.77738,                0.75432,                0.35903,                 1.7859,                 1.0215,                 1.2552,                0.00472,                0.00472,                0.00472
                     82,                 1.7283,                0.99068,                 1.1988,                0.67434,                0.71487,                0.74905,                0.36471,                 1.7638,                 1.0418,                 1.2418,               0.004654,               0.004654,               0.004654
